case_id,case_label,level_id,level_label,level_order,engine,variant,step,newton_iterations,linear_iterations,linear_solve_time,linear_preconditioner_time,linear_orthogonalization_time,newton_relres_end,output_dir
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,7,14.0,107.0,6.993779,5.897311999999999,1.2185479999999997,2.2225036609855394e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,8,11.0,83.0,5.395212000000001,4.554554000000003,0.7727460000000002,4.601365126152171e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,9,19.0,167.0,10.845963000000001,8.244506999999999,2.0702260000000003,7.02394521597364e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,10,18.0,153.0,10.072718000000002,7.840063999999998,1.8190600000000003,9.831333103870897e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,11,19.0,190.0,12.34583,8.212671999999998,2.057898,6.019166885156671e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,matlab,main,12,20.0,209.0,13.421067999999998,8.579031999999998,2.077202999999999,9.200468879831891e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,main,1,6.0,35.0,3.8355788050103,1.2335307199828094,0.11400687198329251,3.2773235421898704e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,main,2,6.0,34.0,3.9398036090133246,1.3776824880042113,0.13117962201067712,5.39853764734252e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,main,3,7.0,43.0,4.963500539961387,1.7063104499975452,0.23420542699750513,2.374558660071479e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,main,4,8.0,55.0,5.996820868022041,1.7387412050011335,0.3278754679777194,9.563588374501678e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,main,5,8.0,64.0,7.033964671965805,1.7385443929961184,0.3615746719879098,1.7678255198989547e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,main,6,11.0,122.0,13.166826668006252,2.499815549032064,0.7312010010209633,3.245162999400135e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,main,7,13.0,134.0,14.420575949989143,2.9960847000038484,1.135004971001763,6.748344645252328e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,main,8,16.0,153.0,16.456105000994285,3.7841774050175445,1.652114051990793,2.5568235195985327e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,main,9,16.0,190.0,20.267002807973768,3.8415769869752694,1.5516307840298396,9.637711492467454e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,main,10,18.0,257.0,27.738783243024955,4.224565160984639,1.9225908659864217,8.99237486917129e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,main,11,18.0,226.0,24.342367482036934,4.329569261986762,2.0420930590335047,7.954506612443051e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L1,L1,0,petsc,main,12,19.0,249.0,26.849493279965827,4.543219995990512,2.0808148010255536,9.505761090161518e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L1/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,delta_lambda,1,3.0,21.0,2.9141049629834015,0.9924163149989909,0.08935409798868932,0.002184526917253708,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,delta_lambda,2,4.0,27.0,3.814915593029582,1.3547792269819183,0.20615874098439235,0.0005916219330290779,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,delta_lambda,3,5.0,33.0,4.644913654992706,1.660294284010888,0.3540890580188716,0.00042193782677509174,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_delta_lambda
