quadrature_rule,n_points,negative_weight_count,min_weight,max_weight,sum_weight
1,1,0,0.16666666666666666,0.16666666666666666,0.16666666666666666
4,4,0,0.041666666666666664,0.041666666666666664,0.16666666666666666
11,11,1,-0.013155555555555,0.024888888888888,0.166666666666661
24,24,0,0.0016795351758867834,0.009226196923942399,0.16666666666666674
45,45,1,-0.03932700664129262,0.013830063842509817,0.16666666666666657
